id,depart_id,subject_name,semester
1,4,"EN010 101 Engineering Mathematics ",1
2,4,"EN010 102 Engineering Physics ",1
3,4,"EN010 103 Engineering. Chemistry & Environmental Studies",1
4,4,"EN010 104 Engineering Mechanics ",1
5,4,"EN010 105 Engineering Graphics ",1
6,4,"EN010 106 Basic Civil Engineering ",1
7,4,"EN010 107 Basic Mechanical Engineering ",1
8,4,"EN010 108 Basic Electrical Engineering",1
9,4,"EN010 109 Basic Electronics Engineering. & Information Technology",1
10,4,"EN010 110 Mechanical Workshop",1
11,4,"EN110 111 Electrical and Civil Workshops",1
12,4,"EN010 301 Engineering Mathematics ",3
13,4,"EN010 302 Economics and Communication ",3
14,4,"AN010 303 Fluid Mechanics",3
15,4,"AN 010 304 Basic Thermodynamics ",3
16,4,"AN 010 305 Elements of Aeronautics",3
17,4,"AN010 306 Basic Strength of Materials",3
18,4,"AN 010 307(CE) Basic Strength of materials Lab ",3
19,4,"AN 010 308(ME) Fluid Mechanics Lab",3
20,4,"EN010 401 Engineering Mathematics III ",4
21,4,"AN010 402 Gas Dynamics ",4
22,4,"AN 010 403 Propulsion ",4
23,4,"AN 010 404 Aerodynamics ",4
24,4,"AN 010 405 Aircraft Structures ",4
25,4,"AN 010 406 Electrical technology & Machines ",4
26,4,"AN 010 407 Structures Lab ",4
27,4,"AN 010 408 Propulsion Lab ",4
28,4,"EN010 501A Engineering Mathematics IV",5
29,4,"EN 010 502(ME) Principles of Management ",5
30,4,"AN 010 503 Computer Programming ",5
31,4,"AN 010 504 Flight Dynamics ",5
32,4,"AN 010 505 Aerodynamics ",5
33,4,"AN 010 506 Propulsion ",5
34,4,"AN 010 507 Wind tunnel Lab",5
35,4,"AN 010 508 Propulsion LabII ",5
36,4,"AN 010 601 Avionics ",6
37,4,"AN 010 602 Experimental Aerodynamics ",6
38,4,"AN 010 603 Aircraft Structures ",6
39,4,"AN 010 604 Heat Transfer ",6
40,4,"AN 010 605 Theory of Vibration ",6
41,4,"AN 010 606Lxx Elective ",6
42,4,"AN 010 607 Heat Engines Lab",6
43,4,"AN 010 608 Aero EnginesLab ",6
44,4,"AN 010 606L01 Composite structures",6
45,4,"AN 010 606L02 Fatigue and fracture",6
46,4,"AN 010 606L03 Finite Element Analysis",6
47,4,"AN 010 606L04 Operation Research",6
48,4,"AN 010 606L05 Ecology & Environment",6
49,4,"AN 010 606L06 Non Destructive Testing",6
50,4,"AN 010 701 Computational Fluid Dynamics ",7
51,4,"AN 010 702 Experimental stress analysis ",7
52,4,"AN 010 703 Aircraft design ",7
53,4,"AN 010 704 Flight dynamics II ",7
54,4,"AN 010 705 Aircraft systems and instrumentation",7
55,4,"AN 010 706Lxx Elective II",7
56,4,"AN 010 707 Experimental stress analysis lab",7
57,4,"AN 010 708 Vibration Lab ",7
58,4,"AN 010 709 Seminar ",7
59,4,"AN 010 710 Project ",7
60,4,"AN 010 706L01Theory of plates and shells",7
61,4,"AN 010 706L02 Advanced Materials in aircraft manufacturing",7
62,4,"AN 010 706L03 Failure analysis",7
63,4,"AN 010 706L04 Helicopter Aerodynamics",7
64,4,"AN 010 706L05 Optimization methods in Design",7
65,4,"AN 010 706L06 Rotor Dynamics",7
66,4,"AN 010 801 Rockets & Missiles ",8
67,4,"AN 010 802 Introduction to space technology ",8
68,4,"AN 010 803 Air transportation & Aircraft maintenance",8
69,4,"AN 010 804Lxx Elective III ",8
70,4,"AN 010 805Gxx Elective IV ",8
71,4,"AN 010 806 Aerodynamics Lab ",8
72,4,"AN 010 807 Project ",8
73,4,"AN 010 808 Viva Voce ",8
74,4,"AN 010 804L01 Project management & TQM",8
75,4,"AN 010 804L02 Air navigation",8
76,4,"AN 010 804L03 Aircraft rules & regulations",8
77,4,"AN 010 804L04 Industrial aerodynamics",8
78,4,"AN 010 804L05 Acoustics & Noise control",8
79,4,"AN 010 804L06 Transport process in reacting flows",8
80,4,"AN 010 805G01 Boundary layer theory",8
81,4,"AN 010 805G02 Disaster Management",8
82,4,"AN 010 805G03 Cryogenics",8
83,4,"AN 010 805G04 Advanced strength of materials",8
84,4,"AN 010 805G05 High temperature gas dynamics",8
85,4,"AN 010 805G06 Turbo Machines",8
86,4,"EN010 101 Engineering Mathematics ",2
87,4,"EN010 102 Engineering Physics ",2
88,4,"EN010 103 Engineering. Chemistry & Environmental Studies",2
89,4,"EN010 104 Engineering Mechanics ",2
90,4,"EN010 105 Engineering Graphics ",2
91,4,"EN010 106 Basic Civil Engineering ",2
92,4,"EN010 107 Basic Mechanical Engineering ",2
93,4,"EN010 108 Basic Electrical Engineering",2
94,4,"EN010 109 Basic Electronics Engineering. & Information Technology",2
95,4,"EN010 110 Mechanical Workshop",2
96,4,"EN110 111 Electrical and Civil Workshops",2
97,5,"EN010 101 Engineering Mathematics",1
98,5,"EN010 102 Engineering Physics ",1
99,5,"EN010 103 Engineering. Chemistry & Environmental Studies",1
100,5,"EN010 104 Engineering Mechanics ",1
101,5,"EN010 105 Engineering Graphics ",1
102,5,"EN010 106 Basic Civil Engineering ",1
103,5,"EN010 107 Basic Mechanical Engineering ",1
104,5,"EN010 108 Basic Electrical Engineering",1
105,5,"EN010 109 Basic Electronics Engineering. & Information Technology",1
106,5,"EN010 110 Mechanical Workshop ",1
107,5,"EN110 111 Electrical and Civil Workshops ",1
108,5,"EN010 101 Engineering Mathematics",2
109,5,"EN010 102 Engineering Physics ",2
110,5,"EN010 103 Engineering. Chemistry & Environmental Studies",2
111,5,"EN010 104 Engineering Mechanics ",2
112,5,"EN010 105 Engineering Graphics ",2
113,5,"EN010 106 Basic Civil Engineering ",2
114,5,"EN010 107 Basic Mechanical Engineering ",2
115,5,"EN010 108 Basic Electrical Engineering",2
116,5,"EN010 109 Basic Electronics Engineering. & Information Technology",2
117,5,"EN010 110 Mechanical Workshop ",2
118,5,"EN110 111 Electrical and Civil Workshops ",2
119,5,"EN010 301 Engineering Mathematics II",3
120,5,"EN010 302 Economics and Communication Skills",3
121,5,"AI010 303 Network Theory",3
122,5,"AI010 304 Solid State devices ",3
123,5,"AI010 305 Analog Circuits",3
124,5,"AI010 306 Computer Programming",3
125,5,"AI010 307 Analog circuits Lab",3
126,5,"AI010 308 Programming Lab",3
127,5,"EN010 401 Engineering Mathematics III ",4
128,5,"EN010 402(ME) Principles of Management",4
129,5,"AI010 403 Signals and Systems ",4
130,5,"AI010 404 Digital Electronics ",4
131,5,"AI010 405 Signal Communication ",4
132,5,"AI010 406 Analog circuits II",4
133,5,"AI010 407 Analog circuits II lab ",4
134,5,"AI010 408 Digital IC lab ",4
135,5,"EN010 501 Engg Mathematics IV ",5
136,5,"AI010 502 Industrial Electronics and Applications",5
137,5,"AI010 503 Basic Instrumentation & recording system",5
138,5,"AI010 504 Data Acquisition system ",5
139,5,"AI010 505 Control Engineering ",5
140,5,"AI010 506 Microprocessors and microcontrollers",5
141,5,"AI010 507 Industrial Electronics Lab ",5
142,5,"AI010 508 Measurements lab ",5
143,5,"AI010 601 Process Control Instrumentation ",6
144,5,"AI010 602 Digital Signal Processing ",6
145,5,"AI010 603 Industrial Instrumentation ",6
146,5,"AI010 604 Microcontroller based system design",6
147,5,"AI010 605 Control Engineering II ",6
148,5,"AI010 606Lxx Elective",6
149,5,"AI010 607 Microprocessors & microcontrollers lab",6
150,5,"AI010 608 Mini Project ",6
151,5,"AI 010 606L01 Mechatronics",6
152,5,"AI 010 606L02 Micro Electronics",6
153,5,"AI 010 606L03 Digital system design",6
154,5,"AI 010 606L04 Industrial safety engineering",6
155,5,"AI 010 606L05 Reliability Engineering",6
156,5,"AI 010 606L06 Energy management",6
157,5,"AI010 701 VLSI ",7
158,5,"AI010 702 Computerised Process control ",7
159,5,"AI010 703 Biomedical Instrumentation ",7
160,5,"AI010 704 Analytical instrumentation ",7
161,5,"AI010 705 Industrial Instrumentation II ",7
162,5,"AI010 706Lxx Elective II ",7
163,5,"AI010 707 Industrial Instrumentation Lab ",7
164,5,"AI010 708 DSP lab ",7
165,5,"AI010 709 Seminar ",7
166,5,"AI 010 710 Project ",7
167,5,"AI010 706L01 Robotics",7
168,5,"AI010 706L02 Real Time system",7
169,5,"AI010 706L03 Optimization techniques",7
170,5,"AI010 706L04 Fuzzy Logic",7
171,5,"AI010 706L05 Digital Image processing",7
172,5,"AI010 706L06 Advanced microcontrollers",7
173,5,"AI010 801 Instrumentation system design ",8
174,5,"AI010 802 Instrumentation in process industries ",8
175,5,"AI010 803 Computer Networks ",8
176,5,"AI010 804 Lxx Elective III ",8
177,5,"AI010 805 Gxx Elective IV ",8
178,5,"AI010 806 Process Control Lab ",8
179,5,"AI010 807 Project ",8
180,5,"AI010 808 Viva Voce ",8
181,5,"AI010 804L01 Neural networks",8
182,5,"AI010 804L02 Advanced DSP",8
